0.4294	5.065
18.2372	5.752
18.8376	4.8699
21.7213	4.5819
31.5173	3.8949
36.6141	6.6432
36.6904	3.9877
45.3014	4.5169
48.1338	6.0118
48.7492	4.6097
50.4288	6.1974
52.7217	6.4574
53.9111	5.0925
56.1508	7.2002
56.2173	4.8881
59.679	4.4982
69.4655	4.1453
71.121	6.5687
71.1536	5.4359
71.7612	4.3032
75.7067	7.0886
80.9625	4.3031
90.1659	4.2288
91.9344	2.7246
97.5635	6.9585
98.7398	6.0486
98.8626	1.7774
105.7986	0.5611
109.6564	6.3921
115.9719	6.7541
122.3531	4.8321
122.3688	4.2843
129.7848	6.3734
145.3656	4.507
154.5399	5.4447
155.056	7.4967
158.46	9.1123
161.501	3.3555
161.5471	1.7492
164.3523	4.1911
167.8639	2.0648
187.9183	4.6181
193.644	5.4909
193.6921	3.8195
198.2449	5.4815
199.9381	6.5957
221.2375	5.8528
224.1241	5.4628
226.9514	7.1341
229.3153	4.9242
230.4419	5.7412
236.1751	6.3541
236.2114	5.0913
247.7683	3.1692
253.974	7.3475
256.9856	2.612
264.9927	4.1441
267.1889	7.7652
269.5581	5.3697
281.0375	6.1402
283.9651	4.3204
295.9893	6.1494
301.8082	3.7816
318.9888	6.2793
320.1623	5.4622
321.2511	7.5977
339.1798	4.0786
342.6682	2.7601
350.0989	4.3385
362.1782	4.2456
368.4681	5.499
382.8771	4.3847
383.5163	2.1562
397.2984	2.8433
404.0691	7.3744
409.8674	5.7216
414.4948	4.7931
423.0932	5.7586
435.6958	7.467
466.3569	1.1437
484.1083	3.7898
492.6699	6.0367
512.2114	6.4266
523.7915	3.6966
542.7048	5.9343
545.6524	3.418
557.0962	5.4328
558.2333	5.8878
576.0997	4.532
576.6719	4.6341
606.5763	4.6247
622.6166	6.7787
626.7618	2.619
639.3673	4.2252
656.6002	4.9029
666.3889	4.4757
681.9369	3.7513
701.4912	3.6956
701.9202	8.7745
716.412	4.7818
